model,model_id,model_fidelity,natural_fpr_lower,natural_fpr_upper,generated_fpr_lower,generated_fpr_upper,gap_lower,gap_upper,gap_lower_ci95_low,gap_lower_ci99_low,gap_upper_ci95_high,gap_upper_ci99_high,natural_n_rows,natural_n_clusters,natural_parse_valid_rows,natural_unknown_rows,natural_known_positive_rows,generated_n_rows,generated_n_clusters,generated_parse_valid_rows,generated_unknown_rows,generated_known_positive_rows,unknown_assignment_for_gap_lower
OLMo-3-7B,allenai/Olmo-3-7B-Instruct,official_bf16,0.42424242424242425,0.5757575757575758,0.10891089108910891,0.12871287128712872,0.29552955295529554,0.4668466846684669,0.16153802172670098,0.11899529042386187,0.596923076923077,0.6357388316151202,66,65,56,10,28,101,93,99,2,11,natural unknowns are non-positive; generated unknowns are positive
Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,official_bf16,0.5454545454545454,0.6515151515151515,0.13861386138613863,0.15841584158415842,0.38703870387038697,0.5129012901290129,0.2453846153846154,0.20154279228026062,0.6437246963562754,0.6822595989493169,66,65,59,7,36,101,93,99,2,14,natural unknowns are non-positive; generated unknowns are positive
