model,n_endpoints,n_clusters,possible_visible_mod_harm_n,validate_amplify_n,validate_amplify_inside_n,validate_amplify_outside_share,validate_amplify_outside_share_ci95_low,validate_amplify_outside_share_ci95_high,validate_amplify_outside_share_ci99_low,validate_amplify_outside_share_ci99_high,non_grounding_outside_share,non_grounding_outside_share_ci95_low,non_grounding_outside_share_ci95_high,non_grounding_outside_share_ci99_low,non_grounding_outside_share_ci99_high,dcs_mass_outside_share,dcs_mass_outside_share_ci95_low,dcs_mass_outside_share_ci95_high,dcs_mass_outside_share_ci99_low,dcs_mass_outside_share_ci99_high,validate_amplify_inside_share
meta-llama/Llama-3.1-8B-Instruct,522,321,161,294,78,0.7346938775510204,0.6771929824561403,0.7915057915057915,0.6585365853658537,0.8086642599277978,0.7078651685393258,0.6554212797134484,0.7601246105919003,0.6385540579203356,0.7761196199236379,0.72,0.6666666666666666,0.7728086700446061,0.6484489821824224,0.7886323268206039,0.26530612244897955
allenai/Olmo-3-7B-Instruct,522,321,161,303,91,0.6996699669966997,0.6426332288401254,0.7572463768115942,0.6246333870527419,0.7747037596622106,0.7011494252873564,0.6504559270516718,0.7533333333333333,0.6342042755344418,0.7696971690590113,0.7004608294930875,0.6471518377835423,0.7541986214115718,0.6309719934102141,0.7711712475187052,0.3003300330033003
