,log_prefix_words,delusion_density,rapport_density,self_disclosure_density
log_prefix_words,1.0,0.4066072278234613,0.26235065168782723,0.255473257665535
delusion_density,0.4066072278234613,1.0,0.4037180359250148,0.3180382277960463
rapport_density,0.26235065168782723,0.4037180359250148,1.0,0.5596858018565618
self_disclosure_density,0.255473257665535,0.3180382277960463,0.5596858018565618,1.0
