outcome,feature,coefficient,ci_low,ci_high,p_value,unit
difference,log_prefix_words,0.011679372462862856,-0.004056405964731193,0.027415150890456905,0.14506640940600887,outcome units per 1 SD
difference,delusion_density,0.005860681341296012,-0.016482270559826935,0.02820363324241896,0.6059102003844519,outcome units per 1 SD
difference,rapport_density,0.0036512925465456507,-0.014717727932466751,0.022020313025558052,0.6957925084859281,outcome units per 1 SD
difference,self_disclosure_density,0.001888327928036612,-0.009376438200014452,0.013153094056087675,0.7415817042081042,outcome units per 1 SD
score_difference,log_prefix_words,0.07969924232678059,-0.08322033130444827,0.24261881595800944,0.33627229813728277,outcome units per 1 SD
score_difference,delusion_density,0.07376271566313394,-0.1526991740212543,0.30022460534752216,0.5218130239944878,outcome units per 1 SD
score_difference,rapport_density,0.08582563058933503,-0.11139645155517751,0.28304771273384755,0.3922551592129032,outcome units per 1 SD
score_difference,self_disclosure_density,0.006591099497582445,-0.10289361978080754,0.11607581877597244,0.9057215373502041,outcome units per 1 SD
