outcome,feature,coefficient,ci_low,ci_high,p_value,unit
difference,log_prefix_words,0.046691890808402796,-0.0014038807089900782,0.09478766232579566,0.05701900695891397,outcome units per 1 SD
difference,delusion_density,0.16322581226366709,0.11060665930106592,0.21584496522626825,3.729336494650595e-09,outcome units per 1 SD
difference,rapport_density,0.030589204720053692,-0.02189670745761,0.08307511689771738,0.2521557539383172,outcome units per 1 SD
difference,self_disclosure_density,-0.01952378381050231,-0.06652925200640976,0.02748168438540514,0.4141460893539869,outcome units per 1 SD
score_difference,log_prefix_words,0.39873673710498014,0.043431130110026805,0.7540423440999335,0.027991537019158734,outcome units per 1 SD
score_difference,delusion_density,1.2694420551384509,0.8949497819794427,1.643934328297459,1.5295406126700983e-10,outcome units per 1 SD
score_difference,rapport_density,0.46905136255107527,0.06231085592053043,0.8757918691816201,0.023981159124561686,outcome units per 1 SD
score_difference,self_disclosure_density,-0.2979539455560396,-0.6957573690501708,0.09984947793809157,0.14144355796768798,outcome units per 1 SD
