feature,quartile,difference,ci_low,ci_high,target_only_rate,target_only_wilson_low,target_only_wilson_high,full_context_rate,full_context_wilson_low,full_context_wilson_high,pairs,targets,conversations
log_prefix_words,1,0.1875,0.11818181818181818,0.2621359223300971,0.008928571428571428,0.0015778547032921364,0.0488484683088849,0.19642857142857142,0.13344971267029,0.2795411051917831,112,112,98
log_prefix_words,2,0.3063063063063063,0.21621621621621623,0.3944954128440367,0.09009009009009009,0.04967177162318983,0.15793146735968136,0.3963963963963964,0.31033266426367245,0.48939123130342677,111,111,87
log_prefix_words,3,0.4954954954954955,0.367816091954023,0.6,0.02702702702702703,0.00923363849723221,0.07646240648300381,0.5225225225225225,0.4304120089432602,0.6131262746291094,111,111,70
log_prefix_words,4,0.4954954954954955,0.38043095529699944,0.5774678241864982,0.06306306306306306,0.030880657586432193,0.12447664110959536,0.5585585585585585,0.4657611253397782,0.6474384119483829,111,111,46
delusion_density,1,0.125,0.06896551724137931,0.1891891891891892,0.008928571428571428,0.0015778547032921364,0.0488484683088849,0.13392857142857142,0.08287141976469584,0.20926456648074523,112,112,105
delusion_density,2,0.2702702702702703,0.18095238095238095,0.36134453781512604,0.02702702702702703,0.00923363849723221,0.07646240648300381,0.2972972972972973,0.22020824463768174,0.38794720321099085,111,111,83
delusion_density,3,0.4954954954954955,0.375,0.6018518518518519,0.06306306306306306,0.030880657586432193,0.12447664110959536,0.5585585585585585,0.4657611253397782,0.6474384119483829,111,111,70
delusion_density,4,0.5945945945945946,0.4861111111111111,0.6833386075949367,0.09009009009009009,0.04967177162318983,0.15793146735968136,0.6846846846846847,0.59330273871225,0.7637111865811816,111,111,33
rapport_density,1,0.273542600896861,0.20196813062281738,0.34545454545454546,0.04035874439461883,0.02137576196457124,0.07490936569350214,0.31390134529147984,0.2565790399572122,0.377526645875081,223,223,171
rapport_density,2,0.44144144144144143,0.30526315789473685,0.5517297357814598,0.018018018018018018,0.0049551787085280775,0.06332555284276006,0.4594594594594595,0.36965969632385653,0.551971393245878,111,111,62
rapport_density,3,0.4954954954954955,0.3956043956043956,0.573170731707317,0.09009009009009009,0.04967177162318983,0.15793146735968136,0.5855855855855856,0.4925800538625369,0.672865423712468,111,111,41
self_disclosure_density,1,0.17857142857142858,0.10256410256410256,0.26126126126126126,0.044642857142857144,0.019217257926634923,0.1002689688664747,0.22321428571428573,0.15601171396569474,0.30877403173207785,112,112,102
self_disclosure_density,2,0.43243243243243246,0.3333333333333333,0.5254237288135594,0.009009009009009009,0.0015920854870672164,0.04927333263527303,0.44144144144144143,0.35256158805161697,0.5342388746602217,111,111,87
self_disclosure_density,3,0.4594594594594595,0.32653061224489793,0.5608108108108109,0.02702702702702703,0.00923363849723221,0.07646240648300381,0.4864864864864865,0.3955239536669479,0.5783530761896303,111,111,56
self_disclosure_density,4,0.4144144144144144,0.2465753424657534,0.5090936977133296,0.10810810810810811,0.06293206948960034,0.17950179635116664,0.5225225225225225,0.4304120089432602,0.6131262746291094,111,111,42
