model,model_label,n_rows,n_clusters,parse_valid_rows,unknown_rows,known_false_negatives,fnr_lower,fnr_upper,published_synthetic_fnr
allenai/Olmo-3-7B-Instruct,OLMo-3-7B,98,63,85,13,12,0.12244897959183673,0.25510204081632654,0.8
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B,98,63,88,10,1,0.01020408163265306,0.11224489795918367,0.09
