,log_prefix_words,delusion_density,rapport_density,self_disclosure_density
log_prefix_words,1.0,0.42264040045016366,0.36753767197460346,0.22529785939936892
delusion_density,0.42264040045016366,1.0,0.36115805131759,0.33257322465979
rapport_density,0.36753767197460346,0.36115805131759,1.0,0.5202227106112932
self_disclosure_density,0.22529785939936892,0.33257322465979,0.5202227106112932,1.0
