outcome,feature,coefficient,ci_low,ci_high,p_value,unit
difference,log_prefix_words,0.011163489868544842,-0.004392571744372015,0.026719551481461698,0.15880597846639033,outcome units per 1 SD
difference,delusion_density,0.009249054752026243,-0.014113445777108383,0.03261155528116087,0.43632777590894056,outcome units per 1 SD
difference,rapport_density,0.0020047636691973092,-0.011794328694116188,0.015803856032510808,0.7750292744267697,outcome units per 1 SD
difference,self_disclosure_density,-0.0008040288568547868,-0.012503710998180527,0.010895653284470954,0.8924533730051305,outcome units per 1 SD
score_difference,log_prefix_words,0.0718784134090203,-0.0889634993541555,0.23272032617219612,0.37965413989667074,outcome units per 1 SD
score_difference,delusion_density,0.124580598392865,-0.11362937855828209,0.3627905753440121,0.3040221219331911,outcome units per 1 SD
score_difference,rapport_density,0.04770991217927147,-0.11284804672941814,0.2082678710879611,0.5589427803634471,outcome units per 1 SD
score_difference,self_disclosure_density,-0.009849341579302114,-0.12787429734086989,0.10817561418226566,0.8695924090144279,outcome units per 1 SD
