outcome,feature,coefficient,ci_low,ci_high,p_value,unit
difference,log_prefix_words,0.02825954605651678,-0.01840942811772979,0.07492852023076335,0.23418151832995207,outcome units per 1 SD
difference,delusion_density,0.18147838395049065,0.13058643075549514,0.23237033714548616,1.9733354756977348e-11,outcome units per 1 SD
difference,rapport_density,0.057189668827720905,0.0029995225193526556,0.11137981513608916,0.03868056079852739,outcome units per 1 SD
difference,self_disclosure_density,-0.02615243780052089,-0.07224963156105164,0.019944755960009868,0.26493730572527896,outcome units per 1 SD
score_difference,log_prefix_words,0.29145834937318665,-0.047454290692858114,0.6303709894392314,0.09156828032691486,outcome units per 1 SD
score_difference,delusion_density,1.4467746410585933,1.0485312190819995,1.8450180630351871,8.907427229421198e-12,outcome units per 1 SD
score_difference,rapport_density,0.5010985521958392,0.10355011842355294,0.8986469859681254,0.01369958654160529,outcome units per 1 SD
score_difference,self_disclosure_density,-0.2964628196383963,-0.65137962052225,0.058453981245457254,0.10120817579235901,outcome units per 1 SD
