omitted_synthetic_scenario,synthetic_full_delta,synthetic_local_delta
ai_sweetheart,-0.3015873015873016,-0.08818342151675485
conduit,-0.2821869488536155,-0.082010582010582
digital_romance,-0.32275132275132273,-0.09700176366843033
medical_awakening,-0.31040564373897706,-0.12081128747795415
messianic_union,-0.25220458553791886,-0.08112874779541446
secret_project,-0.2416225749559083,-0.09964726631393296
turing_test,-0.32451499118165783,-0.10229276895943562
unseen_connections,-0.27336860670194,-0.09435626102292767
