analysis,model,delta_implicit_minus_explicit,ci95_low,ci95_high,ci99_low,ci99_high,n_pairs,n_clusters,replicates
synthetic_full_trajectory,Qwen3-4B,-0.28703703703703703,-0.5231481481481481,-0.06944444444444445,-0.6018518518518519,-0.009259259259259259,8,8,3
synthetic_full_trajectory,OLMo-3-7B,-0.5185185185185185,-0.7222222222222222,-0.3194444444444444,-0.7870370370370371,-0.2638888888888889,8,8,3
synthetic_full_trajectory,Llama-3.1-8B,-0.06018518518518518,-0.3101851851851852,0.19444444444444445,-0.37962962962962965,0.26851851851851855,8,8,3
synthetic_matched_local,Qwen3-4B,-0.12731481481481483,-0.1736111111111111,-0.0787037037037037,-0.18518518518518517,-0.0625,8,8,3
synthetic_matched_local,OLMo-3-7B,-0.1597222222222222,-0.28703703703703703,-0.037037037037037035,-0.32407407407407407,-0.004629629629629629,8,8,3
synthetic_matched_local,Llama-3.1-8B,0.0,-0.1412037037037037,0.14351851851851852,-0.18518518518518517,0.1875,8,8,3
real_matched_local,Qwen3-4B,-0.045871559633027525,-0.09446283103113913,0.004153686396677051,-0.10955726921480345,0.02049630736038511,327,229,3
real_matched_local,OLMo-3-7B,-0.022426095820591234,-0.07341304528804529,0.025490196078431372,-0.08986421232449243,0.0409182512168646,327,229,3
real_matched_local,Llama-3.1-8B,-0.07849133537206932,-0.13249211356466878,-0.024875621890547265,-0.14891181534123643,-0.006591167299558362,327,229,3
