analysis,delta_implicit_minus_explicit,ci95_low,ci95_high,ci99_low,ci99_high,models,n_pairs,n_clusters,replicates
synthetic_full_trajectory,-0.28858024691358025,-0.43364197530864196,-0.14814814814814817,-0.4753086419753087,-0.11265432098765434,3,8,8,3
synthetic_matched_local,-0.09567901234567901,-0.14969135802469136,-0.03395061728395062,-0.16358024691358025,-0.013117283950617281,3,8,8,3
real_matched_local,-0.04892966360856269,-0.08358216470517502,-0.015005186818983992,-0.09493674151872607,-0.00404023845007436,3,327,229,3
